scenario,request_source,station_id,station_name,latitude,longitude,seeds,requests_mean,failures_avoided_mean,failures_avoided_median,failures_avoided_p10,failures_avoided_p90,worsening_seeds,worsening_probability,improving_seeds,improving_probability,tied_seeds,p0_service_rate_mean,p2r_service_rate_mean,observed_baseline_failures_avoided,observed_baseline_worsened,new_worsening_under_latent,stability_class
low,observed,2384,자곡사거리,37.47602844,127.10594177,50,232,1.32,1.0,0,3,2,0.04,32,0.64,16,0.981897,0.987586,2,false,true,intermittent_worsened
low,observed,2385,학동역,37.51395035,127.03015137,50,95,4.26,5.0,0,7,3,0.06,43,0.86,4,0.902316,0.947158,9,false,true,intermittent_worsened
low,observed,2386,크린랩 본사,37.50958633,127.04090881,50,42,9.82,10.0,7,13,0,0.0,50,1.0,0,0.592381,0.82619,14,false,false,never_worsened
low,observed,2387,래미안강남힐즈 사거리,37.47245407,127.09607697,50,145,-3.12,-2.5,-5,-1,46,0.92,1,0.02,3,0.968276,0.946759,1,false,true,persistent_worsened
low,observed,2388,강남구 도시관리공단,37.51678467,127.05161285,50,85,16.08,16.0,13,21,0,0.0,50,1.0,0,0.404235,0.593412,29,false,false,never_worsened
low,observed,2389,경기여자고등학교 후문 (삼성로3길 입구),37.48616028,127.06723785,50,114,2.06,2.0,-1,5,8,0.16,32,0.64,10,0.955965,0.974035,3,false,true,intermittent_worsened
low,observed,2390,구룡마을 입구 (래미안블레스티지 아파트),37.48088074,127.06304169,50,140,-0.04,0.0,0,0,2,0.04,0,0.0,48,1.0,0.999714,0,false,true,intermittent_worsened
low,observed,2392,구룡산 입구 (구룡산 서울둘레길 입구),37.47447205,127.05545044,50,21,1.84,2.0,1,2,0,0.0,50,1.0,0,0.912381,1.0,2,false,false,never_worsened
low,observed,2394,개포래미안포레스트아파트 107동 앞,37.48025131,127.05419159,50,114,12.12,12.0,8,17,0,0.0,50,1.0,0,0.765614,0.87193,20,false,false,never_worsened
low,observed,2396,영동3교 북단(우성캐릭터 앞 보도),37.48574066,127.05104828,50,55,1.02,2.0,-3,3,8,0.16,35,0.7,7,0.832364,0.850909,4,false,true,intermittent_worsened
low,observed,2398,더라움,37.50811005,127.0394516,50,55,6.92,6.0,3,11,0,0.0,50,1.0,0,0.610909,0.736727,9,false,false,never_worsened
low,observed,2401,밀알학교 입구 (삼성서울병원 입구),37.48656082,127.08267212,50,44,9.64,9.5,6,13,0,0.0,50,1.0,0,0.501364,0.720455,17,false,false,never_worsened
low,observed,2403,공무원연금매점 교차로 (개포주공9단지 입구),37.48871994,127.07453918,50,125,9.94,9.5,6,16,0,0.0,50,1.0,0,0.85536,0.93488,11,false,false,never_worsened
low,observed,2404,대모산입구역 4번 출구 앞,37.49180984,127.07315826,50,195,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2405,청담공원앞 교차로,37.51871109,127.05084991,50,172,31.88,32.5,24,37,0,0.0,50,1.0,0,0.225814,0.411163,59,false,false,never_worsened
low,observed,2406,논현동 광명빌딩 앞,37.5175705,127.02364349,50,33,-0.18,0.0,-1,0,8,0.16,0,0.0,42,1.0,0.994545,0,false,true,intermittent_worsened
low,observed,2407,역삼서초삼성 세무서 앞 (역삼빌딩 앞,37.49847031,127.03011322,50,227,0.12,0.0,-5,6,22,0.44,23,0.46,5,0.941322,0.94185,9,false,true,intermittent_worsened
low,observed,2408,강남한양수자인아파트,37.4773407,127.11327362,50,157,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2409,역삼동 디오슈페리움 (우성아파트 사거리),37.49206161,127.03074646,50,139,-4.26,-4.0,-8,-2,47,0.94,0,0.0,3,1.0,0.969353,-7,true,false,persistent_worsened
low,observed,2410,포스코피앤에스타워 (역삼역 3번출구 부근),37.49959946,127.03375244,50,170,5.4,5.0,0,10,3,0.06,45,0.9,2,0.592706,0.624471,17,false,true,intermittent_worsened
low,observed,2411,세곡동 성당,37.47296906,127.11222839,50,143,1.06,0.0,0,2,0,0.0,22,0.44,28,0.941399,0.948811,0,false,false,never_worsened
low,observed,2413,도곡역 1번 출구,37.49095917,127.05498505,50,146,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2414,도곡역 아카데미스위트 앞,37.48897171,127.05182648,50,220,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2415,한티역 롯데백화점 앞,37.49667358,127.05342865,50,135,1.04,1.0,0,2,0,0.0,44,0.88,6,0.991259,0.998963,1,false,false,never_worsened
low,observed,2416,한티역 6번 출구,37.4958992,127.05219269,50,74,-4.24,-4.0,-6,-2,50,1.0,0,0.0,0,0.99973,0.942432,-6,true,false,persistent_worsened
low,observed,2417,선정릉 디캠프(D.CAMP)앞,37.50799942,127.04524994,50,35,3.96,4.0,3,4,0,0.0,50,1.0,0,0.882857,0.996,4,false,false,never_worsened
low,observed,2418,봉은사역 7번 출구,37.51393509,127.05982208,50,108,4.88,5.0,1,9,1,0.02,47,0.94,2,0.850371,0.895556,12,false,true,intermittent_worsened
low,observed,2419,"봉은사역 1,2번 출구",37.51430893,127.05970001,50,77,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2420,학여울역 사거리(LG베스트샵 앞),37.49689484,127.07013702,50,111,-0.9,-1.0,-2,0,28,0.56,0,0.0,22,1.0,0.991892,-6,true,false,intermittent_worsened
low,observed,2422,수서동 성당 맞은편,37.48416901,127.09484863,50,64,-4.02,-4.0,-6,-3,50,1.0,0,0.0,0,1.0,0.937187,-4,true,false,persistent_worsened
low,observed,2423,영희초교 사거리(래미안개포루체하임),37.4908371,127.08065033,50,144,-1.14,0.0,-4,0,20,0.4,0,0.0,30,1.0,0.992083,-1,true,false,intermittent_worsened
low,observed,2425,세곡동 사거리(대왕초등학교 정류장),37.46461868,127.10684967,50,44,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,2426,강남한신휴플러스 6단지,37.46829605,127.10469818,50,82,1.44,0.0,0,5,1,0.02,23,0.46,26,0.843902,0.861463,3,false,true,intermittent_worsened
low,observed,2427,개포고등학교 정문앞,37.48485184,127.0583725,50,110,-2.4,-2.0,-6,0,40,0.8,4,0.08,6,0.991454,0.969636,-1,true,false,persistent_worsened
low,observed,2430,강남파이낸스센터앞(역삼역2번출구),37.50024414,127.03605652,50,86,8.02,9.0,2,12,0,0.0,50,1.0,0,0.70186,0.795116,15,false,false,never_worsened
low,observed,2431,대치역 7번출구,37.49411774,127.06290436,50,165,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3602,한국지역난방공사강남지사,37.49229431,127.09433746,50,83,-0.34,1.0,-4,1,17,0.34,27,0.54,6,0.988193,0.984096,1,false,true,intermittent_worsened
low,observed,3604,삼성중앙역 5번출구,37.51296234,127.05386353,50,93,10.14,10.0,8,13,0,0.0,50,1.0,0,0.738495,0.847527,11,false,false,never_worsened
low,observed,3606,신사동주민센터 옆,37.52422714,127.02285004,50,53,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3609,언주초등학교 입구,37.48536682,127.03849792,50,87,-3.08,-3.0,-4,-2,50,1.0,0,0.0,0,1.0,0.964598,-2,true,false,persistent_worsened
low,observed,3610,윗반마을 입구,37.46534729,127.1088028,50,19,1.0,1.0,0,1,0,0.0,43,0.86,7,0.947368,1.0,1,false,false,never_worsened
low,observed,3611,방죽마을 입구,37.47123337,127.10721588,50,63,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3614,은마아파트 입구 사거리,37.49840164,127.06093597,50,182,-0.9,-1.0,-4,2,29,0.58,12,0.24,9,0.967692,0.962747,6,false,true,intermittent_worsened
low,observed,3615,서울 논현동우체국 앞,37.51446152,127.0326004,50,58,23.2,23.0,21,26,0,0.0,50,1.0,0,0.526552,0.926552,24,false,false,never_worsened
low,observed,3616,역삼중학교 앞(체육관 방향),37.49526215,127.04950714,50,41,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3618,서울율현초교 삼거리,37.47364044,127.10702515,50,102,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3620,청담역 11번 출구,37.51925659,127.0515976,50,22,4.6,5.0,4,5,0,0.0,50,1.0,0,0.569091,0.778182,5,false,false,never_worsened
low,observed,3622,은마아파트입구 사거리(1),37.49986649,127.0605011,50,47,1.32,1.0,0,3,2,0.04,37,0.74,11,0.938723,0.966808,1,false,true,intermittent_worsened
low,observed,3623,일원에코파크 앞(개포로 방면),37.49587631,127.08650208,50,66,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3624,대모산입구역 7번 출구 앞,37.49017715,127.07305908,50,30,1.02,1.0,0,2,0,0.0,38,0.76,12,0.921333,0.955333,3,false,false,never_worsened
low,observed,3627,압구정나들목,37.53075027,127.04160309,50,81,4.86,5.0,3,6,0,0.0,50,1.0,0,0.931358,0.991358,3,false,false,never_worsened
low,observed,3629,청담사거리(신한오피스텔빌딩 앞),37.52416229,127.0489502,50,15,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3630,개포우성6차아파트 정문 앞,37.47685623,127.05536652,50,50,5.8,6.0,2,10,0,0.0,48,0.96,2,0.5976,0.7136,12,false,false,never_worsened
low,observed,3634,국악고교 앞 교차로,37.47402191,127.04844666,50,79,3.26,5.0,0,6,0,0.0,35,0.7,15,0.924557,0.965823,4,false,false,never_worsened
low,observed,3636,삼성중앙역·플래티넘아파트 정류소,37.51264191,127.05156708,50,89,20.88,20.0,16,26,0,0.0,50,1.0,0,0.471461,0.706067,30,false,false,never_worsened
low,observed,3637,세곡데이케어센터,37.46072388,127.10287476,50,31,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3638,신청담나들목,37.52796173,127.05162811,50,34,0.0,0.0,0,0,0,0.0,0,0.0,50,1.0,1.0,0,false,false,never_worsened
low,observed,3640,일원1동주민센터앞 사거리,37.49087906,127.08795929,50,194,-10.96,-11.0,-14,-8,50,1.0,0,0.0,0,0.979794,0.923299,-1,true,false,persistent_worsened
low,observed,3641,대청역,37.49370575,127.0799942,50,170,2.44,2.0,-1,5,5,0.1,42,0.84,3,0.967059,0.981412,3,false,true,intermittent_worsened
low,observed,3642,LH강남힐스테이트아파트,37.47081375,127.08969879,50,92,5.44,6.0,2,7,0,0.0,50,1.0,0,0.39413,0.453261,16,false,false,never_worsened
